 	X	Y
248	-240.8409	346.83597
249	-240.28183	346.86502
250	-239.90918	346.88864
251	-239.35025	346.93008
252	-238.97757	346.9613
253	-238.41855	347.01254
254	-238.04593	347.0491
255	-237.48694	347.10715
256	-236.92813	347.169
257	-236.55576	347.21246
258	-235.99738	347.28116
259	-235.62518	347.32938
260	-235.06686	347.4052
261	-234.69458	347.4579
262	-234.13602	347.53934
263	-233.57736	347.62292
264	-233.20496	347.67966
265	-232.64648	347.7663
266	-232.2742	347.8253
267	-231.71582	347.91605
268	-231.1573	348.01
269	-230.78473	348.0745
270	-230.22552	348.17383
271	-229.85242	348.24152
272	-229.29233	348.345
273	-228.9187	348.41516
274	-228.35806	348.522
275	-227.79718	348.6309
276	-227.4231	348.7047
277	-226.8616	348.8175
278	-226.48697	348.89398
279	-225.92447	349.0102
280	-225.5491	349.08832
281	-224.98557	349.20587
282	-224.60956	349.28418
283	-224.04526	349.40137
284	-223.48056	349.51837
285	-223.1039	349.59656
286	-222.53845	349.7144
287	-222.16116	349.79343
288	-221.5946	349.91266
289	-221.21646	349.9925
290	-220.6486	350.1125
291	-220.26962	350.19238
292	-219.70062	350.31165
293	-219.32095	350.3909
294	-218.75092	350.50967
295	-218.37048	350.5889
296	-217.7991	350.70795
297	-217.2267	350.82718
298	-216.84457	350.90656
299	-216.27066	351.02515
300	-215.8875	351.10367
301	-215.312	351.2205
302	-214.92795	351.2977
303	-214.3513	351.41266
304	-213.96643	351.4889
305	-213.3885	351.60275
306	-213.00272	351.67828
307	-212.42334	351.79077
308	-212.03662	351.865
309	-211.4559	351.975
310	-211.06842	352.04742
311	-210.6807	352.1192
312	-210.09863	352.2259
313	-209.71024	352.29666
314	-209.12704	352.40277
315	-208.7378	352.4737
316	-208.15317	352.58054
317	-207.76294	352.6521
318	-207.1769	352.75992
319	-206.78577	352.83206
320	-206.19855	352.94067
321	-205.80664	353.01346
322	-205.2182	353.12338
323	-204.8254	353.19736
324	-204.43225	353.27197
325	-203.8418	353.38516
326	-203.44763	353.46133
327	-202.8558	353.57645
328	-202.4609	353.65363
329	-201.8681	353.7699
330	-201.4726	353.84775
331	-201.0769	353.926
332	-200.483	354.0442
333	-200.08673	354.1234
334	-199.4919	354.24066
335	-199.095	354.31775
336	-198.49927	354.4316
337	-198.10187	354.5062
338	-197.7043	354.57962
339	-197.10767	354.6879
340	-196.70966	354.7591
341	-196.1123	354.86502
342	-195.71375	354.9355
343	-195.3149	355.0061
344	-194.71606	355.11255
345	-194.31647	355.18387
346	-193.7165	355.29117
347	-193.31616	355.3628
348	-192.715	355.47025
349	-192.31396	355.542
350	-191.91254	355.61386
351	-191.30994	355.72226
352	-190.9078	355.79495
353	-190.5054	355.86792
354	-189.9014	355.97742
355	-189.4985	356.05008
356	-188.89355	356.1578
357	-188.4899	356.2285
358	-188.086	356.2981
359	-187.4798	356.40036
360	-187.0754	356.46716
361	-186.4683	356.56558
362	-186.06335	356.6301
363	-185.6543	356.69434
364	-185.0407	356.78888
365	-184.63165	356.85062
366	-184.22266	356.91132
367	-183.6091	357.00043
368	-183.2001	357.05872
369	-182.791	357.11633
370	-182.17755	357.20175
371	-181.76855	357.25827
372	-181.3596	357.31448
373	-180.7462	357.39822
374	-180.3373	357.45346
375	-179.92834	357.50854
376	-179.315	357.59058
377	-178.90607	357.64505
378	-178.4972	357.69962
379	-177.88385	357.78217
380	-177.475	357.83795
381	-176.86163	357.92303
382	-176.45276	357.98068
383	-176.0439	358.03894
384	-175.4306	358.1273
385	-175.0217	358.1867
386	-174.61285	358.24652
387	-173.99963	358.33707
388	-173.5908	358.3981
389	-173.1862	358.45914
390	-172.57965	358.552
391	-172.17554	358.61502
392	-171.7717	358.67908
393	-171.1664	358.77722
394	-170.763	358.8441
395	-170.158	358.94666
396	-169.7549	359.01666
397	-169.35187	359.08813
398	-168.74756	359.19833
399	-168.34485	359.27393
400	-167.7412	359.39062
401	-167.33905	359.47064
402	-166.9371	359.55243
403	-166.33435	359.67856
404	-165.9326	359.765
405	-165.531	359.85345
406	-164.9288	359.99
407	-164.52747	360.08365
408	-163.9259	360.22803
409	-163.525	360.32697
410	-163.1244	360.42828
411	-162.52374	360.5849
412	-162.1235	360.69257
413	-161.5233	360.8588
414	-161.1232	360.97253
415	-160.72327	361.08856
416	-160.12335	361.26733
417	-159.7236	361.3899
418	-159.12427	361.5793
419	-158.72485	361.70963
420	-158.32556	361.84296
421	-157.7269	362.04855
422	-157.32794	362.1899
423	-156.7297	362.40918
424	-156.3309	362.5598
425	-155.73267	362.79205
426	-155.33386	362.95105
427	-154.93506	363.1134
428	-154.3369	363.3634
429	-153.9381	363.53458
430	-153.3396	363.7998
431	-152.9404	363.9832
432	-152.54095	364.1715
433	-151.9412	364.46237
434	-151.54095	364.66177
435	-150.9397	364.96933
436	-150.5383	365.18015
437	-150.1365	365.3957
438	-149.5329	365.72812
439	-149.12994	365.95593
440	-148.52466	366.3073
441	-148.1204	366.5482
442	-147.71564	366.79462
443	-147.10724	367.17532
444	-146.7007	367.43564
445	-146.29333	367.69934
446	-145.6752	368.10504
447	-145.26294	368.37927
448	-144.8507	368.65656
449	-144.2322	369.07816
450	-143.8198	369.36304
451	-143.4074	369.651
452	-142.78876	370.08875
453	-142.3794	370.38223
454	-142	370.65695
455	-141.7938	370.81064
456	-141.3814	371.11383
457	-140.96906	371.42017
458	-140.55675	371.72964
459	-139.9384	372.19977
460	-139.52621	372.51718
461	-139.11407	372.8378
462	-138.49591	373.3248
